Year Deployed,Parks,Species,D_Sex,Deployment code,Name of individual,Brand,SAT ID,Date Deployed,Time Deployed,VHF,VHF Fine Tune,SN,GPS X,GPS Y,Vial#,Body Length,Horn Length,Neck Circ,Group Size,State,Immobility?,Reason,Reasons,Date Last Fix,Last Fix X,Last Fix Y,Date Deactivated,To deactive with AWT,In inactive collar group ER?,To Check?,Comments
2023,"Badingilo & Boma, South Sudan",Mongalla Gazelle,Male,,Mongalla Gazelle 6727,AWT,6727,24-Mar-2023,7:30, 150.550 ,,s/n 20300,06.67356,34.06670,86,107,12.5,23,,Active,,,,,,,,,No- active,,
2023,"Badingilo & Boma, South Sudan",Mongalla Gazelle,Male,,Mongalla Gazelle 6729,AWT,6729,25-Mar-2023,6:41, 150.600 ,,s/n 20302,06.26669,33.82592,91,,,21,,Deactivated,,,,,,,3-Aug-2023,,Yes,,
2023,"Badingilo & Boma, South Sudan",Mongalla Gazelle,Male,,Mongalla Gazelle 6730,AWT,6730,23-Mar-2023,8:15, 150.630 ,,s/n 20303,06.116119,32.150511,190,,,,,Deactivated,,,,,,,13-Sep-2023,,Yes,,
2023,"Badingilo & Boma, South Sudan",Bohor Reedbuck,Male,,,,,23-Mar-2023,8:45,,,,06.06083,32.40244,145,,,,,Deactivated,,,,,,,,,,,Not collared; died in field
2023,"Badingilo & Boma, South Sudan",Bohor Reedbuck,Male,6731_1,Bohor Reedbuck 6731,AWT,6731,17-Mar-2023,10:43, 150.650 ,,s/n 20341,05.26960278,32.41278056,156,124,33,39.5,200+,Redeployed,,,,,,,,,,,Animal likely poached; collar recovered 6 April
2023,"Badingilo & Boma, South Sudan",Bohor Reedbuck,Male,6731_2,Bohor Reedbuck 6731,AWT,6731,7-Apr-2023,9:54, 150.650 ,,s/n 20341,05.481826,32.190096,27,,,,,Deactivated,,,,13-Jul-2024,5.309435,32.666905,28-Nov-2025,,Yes,,Collar redeployed
2023,"Badingilo & Boma, South Sudan",Bohor Reedbuck,Male,6674_2,Bohor Reedbuck 6674,AWT,6674,7-Apr-2023,9:15, 148.890 ,,s/n 20197,05.406445,32.114035,,,,,,Deactivated,,,,,,,11-Mar-2024,,Yes,,Collar redeployed
2023,"Badingilo & Boma, South Sudan",Bohor Reedbuck,Male,,Bohor Reedbuck 6732,AWT,6732,16-Mar-2023,9:28, 150.680 ,,s/n 20342,05.261908,32.341958,172,135,26.5,39.5,,Deactivated,,,,,,,2-Apr-2025,,Yes,,
2023,"Badingilo & Boma, South Sudan",Bohor Reedbuck,Male,,Bohor Reedbuck 6733,AWT,6733,27-Mar-2023,9:35, 150.720 ,,s/n 20343,6.164787,33.750085,107,,,39.5,,Deactivated,,Possibly poached,,,5.884842,33.838481,8-Aug-2025,,Yes,Y,
2023,"Badingilo & Boma, South Sudan",Bohor Reedbuck,Male,,Bohor Reedbuck 6738,AWT,6738,18-Mar-2023,11:03, 150.880 ,,s/n 20348,5.304558,32.035763,197,127,29,39,,Deactivated,,,,,,,20-Jun-2023,,Yes,,
2023,"Badingilo & Boma, South Sudan",Bohor Reedbuck,Male,,Bohor Reedbuck 6739,AWT,6739,18-Mar-2023,12:36, 150.900 ,,s/n 20349,5.525049,32.302243,137,131,29.5,42,,Deactivated,,,,,,,11-Mar-2024,,Yes,,
2023,"Badingilo & Boma, South Sudan",Bohor Reedbuck,Male,,Bohor Reedbuck 6737,AWT,6737,23-Mar-2023,12:18, 150.840 ,,s/n 20347,06.045422,032.156398,188,,,,,Deactivated,,,,,,,13-Dec-2023,,Yes,,
2023,"Badingilo & Boma, South Sudan",Bohor Reedbuck,Male,,Bohor Reedbuck 6740,AWT,6740,24-Mar-2023,9:40, 150.920 ,,s/n 20350,06.31722,33.87589,97,,,42,,Deactivated,,,,,,,28-Nov-2023,,Yes,,
2023,"Badingilo & Boma, South Sudan",Bohor Reedbuck,,,Bohor Reedbuck 6736,AWT,6736,17-Mar-2023,7:34, 150.810 ,,s/n 20346,5.45091389,32.27810833,186,127,30,39.5,200+,Deactivated,,Natural mortality?,,,5.100183,32.240576,8-Aug-2025,,Yes,Y,
2023,"Badingilo & Boma, South Sudan",Bohor Reedbuck,Female,,Bohor Reedbuck 6678,AWT,6678,18-Mar-2023,13:11, 149.000 ,,s/n 20223,5.507024,32.298147,182,115,,24,,Deactivated,,Poached? Close to Lafon in hunting zone,,11-Apr-2026,5.213539,32.508507,11-Apr-2026,,Yes,,
2023,"Badingilo & Boma, South Sudan",Bohor Reedbuck,Female,,Bohor Reedbuck 6728,AWT,6728,16-Mar-2023,10:10, 150.580 ,150.5812,s/n 20301,05.121111,32.627181,157,,,,,Deactivated,,"Didn't give new fix in 4 weeks, is in 'hunting fields' near lafon",,22-Jan-2026,5.17783,32.569528,9-Mar-2026,,Yes,,
2023,"Badingilo & Boma, South Sudan",Eland,Female,,Eland 6741,AWT,6741,18-Mar-2023,15:00, 149.830 ,,s/n 20367,5.310347,32.454632,159,215,56.5,63,140,Deactivated,,,,16-Aug-2024,5.499523,32.7576383,17-Sep-2024,,Yes,,
2023,"Badingilo & Boma, South Sudan",Eland,Female,,Eland 6742,AWT,6742,27-Mar-2023,8:16, 149.810 ,,s/n 20367,5.310347,32.454632,159,215,56.5,63,140,Deactivated,,,,,6.296305,33.73383,26-Jun-2023,,Yes,,
2023,"Badingilo & Boma, South Sudan",Eland,Female,,Eland 6742,Ceres,6742(2207B0610),27-Mar-2023,8:16,,,s/n 20352,6.088293,33.523630,116,,,,,Deactivated,,Failed - hardware issue,,17-Feb-2024,,,,,Yes,,Ceres tag 2207B0610 
2023,"Badingilo & Boma, South Sudan",Eland,Female,,Eland 6744,AWT,6744,16-Mar-2023,8:35, 149.890 ,,s/n 20354,05.188804,32.312531,200,227,66,58.5,,Deactivated,,,,18-Jun-2025,5.350506,33.195815,8-Aug-2025,,Yes,,
